"","CO_MUNICIPIO_RESIDENCIA","uf_res","nu_nota_cn","nu_nota_ch","nu_nota_lc","nu_nota_mt","nu_nota_redacao"
"118",2610301,"26",456.05701754386,506.395175438596,495.673245614035,458.434649122807,508.245614035088
"119",2610400,"26",458.087229862475,500.245186640472,496.028880157171,458.879960707269,467.465618860511
"120",2610509,"26",459.204779411765,507.0296875,500.949172794118,461.797886029412,503.474264705882
"121",2610608,"26",461.558465227818,508.401966426859,498.914436450839,458.719952038369,495.863788968825
"122",2610707,"26",478.798761009106,536.620331392745,522.294028959546,482.049156590536,530.011643528885
"123",2610806,"26",458.078714859438,504.433734939759,501.660240963855,458.964257028112,503.614457831325
"124",2610905,"26",464.87191328935,520.279736098021,510.248020735156,470.80301602262,518.930725730443
"125",2611002,"26",462.974975173783,517.113505461768,509.168321747766,463.319364448858,515.670307845084
"126",2611101,"26",476.792906246296,532.999318478132,516.22462960768,488.036979969183,535.811307336731
"127",2611200,"26",464.27581120944,517.186430678466,508.032743362832,473.360766961652,520.117994100295
"128",2611309,"26",466.082222222222,518.362735042735,504.376239316239,470.729230769231,536.538461538462
"129",2611408,"26",454.476146788991,499.482110091743,492.956880733945,461.633944954128,504.220183486239
"130",2611507,"26",460.800546448087,511.832786885246,499.740983606557,457.620218579235,524.098360655738
"131",2611533,"26",468.783251231527,517.458620689655,504.728078817734,481.316748768473,514.187192118227
"132",2611606,"26",491.64073188417,548.880130825838,531.789975161604,504.211711072371,554.867662259523
"133",2611705,"26",466.391237113402,520.15824742268,508.426288659794,475.872422680412,519.742268041237
"134",2611804,"26",461.437081784387,509.053531598513,504.796375464684,463.413940520446,497.825278810409
"135",2611903,"26",464.907858546169,512.948526522593,498.041453831041,457.579174852652,504.597249508841
"136",2612000,"26",464.515526315789,520.210526315789,512.087631578947,461.749210526316,522.736842105263
"137",2612109,"26",461.180213903743,511.091443850267,499.632620320856,459.991443850267,530.48128342246
"138",2612208,"26",468.459549010584,520.317533364013,510.675977910723,478.78508973769,521.177174413254
"139",2612307,"26",451.551026392962,507.21642228739,496.788269794721,447.156011730205,517.771260997067
"140",2612406,"26",471.652587646077,522.288814691152,510.598831385643,477.320701168614,524.140233722871
"141",2612455,"26",456.934502923977,518.019298245614,501.585964912281,460.187719298246,513.450292397661
"142",2612471,"26",466.338554216867,511.666506024096,502.362409638554,465.687951807229,506.361445783133
"143",2612505,"26",473.008864795918,534.094547193878,518.413520408163,491.206441326531,536.158482142857
"144",2612554,"26",452.413461538462,497.053205128205,493.909615384615,447.871794871795,487.179487179487
"145",2612604,"26",450.80829228243,491.115845648604,486.37249589491,447.166091954023,463.811165845649
"146",2612703,"26",459.478210116732,512.924513618677,509.14046692607,471.272373540856,509.416342412451
"147",2612802,"26",455.92074829932,511.058503401361,501.202721088435,468.735034013605,510.748299319728
