"","data","nome_aeroporto","tipo_transporte","tipo_voo","pousos_no_mes","decolagens_no_mes","pou_dec_no_mes","embarcado_no_mes","desembarcado_no_mes","emb_desemb_no_mes","carregada_no_mes","descarregada_no_mes","car_descar_no_mes","transito_no_mes"
"186",2012-08-01,"sbbh","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"187",2012-08-01,"sbbh","transporte não regular","voo doméstico",2911,2916,5827,11111,11081,22192,0,0,0,0
"188",2012-08-01,"sbbh","transporte não regular","voo internacional",18,15,33,83,99,182,0,0,0,0
"189",2012-08-01,"sbbi","transporte regular","voo doméstico",0,0,0,0,0,0,0,0,0,0
"190",2012-08-01,"sbbi","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"191",2012-08-01,"sbbi","transporte não regular","voo doméstico",1594,1589,3183,3790,3448,7238,0,0,0,0
"192",2012-08-01,"sbbi","transporte não regular","voo internacional",5,4,9,0,0,0,0,0,0,0
"193",2012-08-01,"sbbv","transporte regular","voo doméstico",93,93,186,12631,13148,25779,0,0,0,0
"194",2012-08-01,"sbbv","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"195",2012-08-01,"sbbv","transporte não regular","voo doméstico",419,417,836,961,290,1251,0,0,0,0
"196",2012-08-01,"sbbv","transporte não regular","voo internacional",27,23,50,13,12,25,0,0,0,0
"197",2012-08-01,"sbcg","transporte regular","voo doméstico",896,894,1790,70843,68735,139578,77828,165225,243053,0
"198",2012-08-01,"sbcg","transporte regular","voo internacional",61,61,122,609,2412,3021,0,0,0,0
"199",2012-08-01,"sbcg","transporte não regular","voo doméstico",523,519,1042,307,114,421,0,0,0,0
"200",2012-08-01,"sbcg","transporte não regular","voo internacional",7,6,13,0,0,0,0,0,0,0
"201",2012-08-01,"sbcj","transporte regular","voo doméstico",210,203,413,5291,5681,10972,0,0,0,0
"202",2012-08-01,"sbcj","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"203",2012-08-01,"sbcj","transporte não regular","voo doméstico",121,130,251,865,422,1287,0,0,0,0
"204",2012-08-01,"sbcj","transporte não regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"205",2012-08-01,"sbcr","transporte regular","voo doméstico",31,31,62,1416,1412,2828,0,0,0,0
"206",2012-08-01,"sbcr","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"207",2012-08-01,"sbcr","transporte não regular","voo doméstico",176,176,352,337,316,653,0,0,0,0
"208",2012-08-01,"sbcr","transporte não regular","voo internacional",4,4,8,15,12,27,0,0,0,0
"209",2012-08-01,"sbct","transporte regular","voo doméstico",3437,3441,6878,308888,284873,593761,200679,81302,281981,317473
"210",2012-08-01,"sbct","transporte regular","voo internacional",86,87,173,3437,2171,5608,0,0,0,0
"211",2012-08-01,"sbct","transporte não regular","voo doméstico",329,320,649,1876,2965,4841,0,0,0,0
"212",2012-08-01,"sbct","transporte não regular","voo internacional",18,19,37,27,82,109,0,0,0,0
"213",2012-08-01,"sbcz","transporte regular","voo doméstico",30,30,60,2822,2660,5482,0,0,0,0
"214",2012-08-01,"sbcz","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"215",2012-08-01,"sbcz","transporte não regular","voo doméstico",251,248,499,1041,972,2013,422,3355,3777,0
"216",2012-08-01,"sbcz","transporte não regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"217",2012-08-01,"sbeg","transporte regular","voo doméstico",1341,1329,2670,118013,116614,234627,0,0,0,0
"218",2012-08-01,"sbeg","transporte regular","voo internacional",111,113,224,7934,7290,15224,0,0,0,0
"219",2012-08-01,"sbeg","transporte não regular","voo doméstico",712,728,1440,6469,5059,11528,0,0,0,0
"220",2012-08-01,"sbeg","transporte não regular","voo internacional",168,166,334,175,294,469,0,0,0,0
"221",2012-08-01,"sbfi","transporte regular","voo doméstico",662,660,1322,70068,71630,141698,0,0,0,0
"222",2012-08-01,"sbfi","transporte regular","voo internacional",18,18,36,2229,2272,4501,0,0,0,0
"223",2012-08-01,"sbfi","transporte não regular","voo doméstico",161,163,324,255,668,923,0,0,0,0
"224",2012-08-01,"sbfi","transporte não regular","voo internacional",40,42,82,330,369,699,0,0,0,0
"225",2012-08-01,"sbgo","transporte regular","voo doméstico",1604,1598,3202,130901,130722,261623,120638,212437,333075,191549
"226",2012-08-01,"sbgo","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"227",2012-08-01,"sbgo","transporte não regular","voo doméstico",1441,1478,2919,4649,243,4892,0,0,0,0
"228",2012-08-01,"sbgo","transporte não regular","voo internacional",8,7,15,0,0,0,0,0,0,0
