CODMUNRES,n_obitos,n_obitos_tb,n_obitos_mulheres,prop_mulheres,n_obitos_menos5,CITY,IBGE_RES_POP,IBGE_RES_POP_BRAS,IBGE_RES_POP_ESTR,IBGE_DU,IBGE_DU_URBAN,IBGE_DU_RURAL,IBGE_POP,IBGE_1,IBGE_1-4,IBGE_5-9,IBGE_10-14,IBGE_15-59,IBGE_60+,IBGE_PLANTED_AREA,IBGE_CROP_PRODUCTION_$,IDHM Ranking 2010,IDHM,IDHM_Renda,IDHM_Longevidade,IDHM_Educacao
290940,86,0,31,36.04651162790697,0,cotegipe,13636,13636,0,3770,1906,1864,6610,100,435,630,664,3988,793,4431,10003,4402,0.59,0.545,0.746,0.504
290950,39,0,20,51.28205128205128,0,cravolândia,5041,5041,0,1469,935,534,3175,33,208,306,270,1955,403,218,453,4180,0.599,0.559,0.765,0.503
290960,139,0,53,38.1294964028777,2,crisópolis,20046,20046,0,6026,2750,3276,8586,115,462,776,861,5090,1282,6827,22501,5289,0.54,0.542,0.765,0.387
290970,70,1,35,50,0,cristópolis,13280,13280,0,3727,919,2808,3129,55,174,254,308,1998,340,3740,6878,3826,0.614,0.546,0.766,0.553
290980,411,1,200,48.661800486618006,1,cruz das almas,58606,58533,73,17246,14835,2411,49772,666,2719,3743,4187,33474,4983,2505,9198,1943,0.7,0.659,0.796,0.65
290990,197,0,72,36.54822335025381,0,curaçá,32168,32168,0,8690,3776,4914,13705,279,1016,1317,1481,8274,1338,4405,44305,4617,0.581,0.544,0.778,0.463
291000,62,0,30,48.38709677419355,1,dário meira,12836,12836,0,3395,1391,2004,5085,80,341,445,497,3143,579,3733,7419,5327,0.54,0.522,0.771,0.392
291005,421,1,159,37.76722090261283,0,dias d'ávila,66440,66381,59,19957,18758,1199,62343,1073,4482,5586,5896,41469,3837,88,339,2537,0.68,0.651,0.811,0.584
291010,70,0,30,42.857142857142854,2,dom basílio,11355,11355,0,2978,630,2348,2237,26,135,194,188,1436,258,3185,28795,4377,0.591,0.547,0.783,0.482
291020,32,1,12,37.5,0,dom macedo costa,3874,3874,0,1182,579,603,1761,30,96,128,155,1116,236,375,2607,3455,0.632,0.598,0.795,0.531
291030,56,0,26,46.42857142857143,0,elísio medrado,7947,7947,0,2568,1097,1471,3245,49,202,258,262,1980,494,1017,2525,3643,0.623,0.59,0.777,0.527
291040,133,1,52,39.097744360902254,0,encruzilhada,23766,23766,0,6648,1470,5178,4193,50,242,301,371,2734,495,14718,36898,5280,0.544,0.533,0.754,0.4
291050,277,1,122,44.04332129963899,1,entre rios,39872,39817,55,11091,6627,4464,23777,386,1572,2213,2642,15032,1932,6840,31644,3818,0.615,0.602,0.785,0.492
291060,217,2,92,42.3963133640553,1,esplanada,32802,32802,0,8677,5558,3119,20734,355,1478,2075,2415,12532,1879,9215,44055,4416,0.589,0.589,0.74,0.469
291070,390,3,156,40,2,euclides da cunha,56289,56289,0,15685,7902,7783,27352,449,1786,2216,2563,16999,3339,26472,16116,4916,0.57,0.565,0.749,0.43
291072,779,6,295,37.869062901155324,2,eunápolis,100196,100143,53,29570,27585,1985,93118,1569,6201,8332,9312,60085,7619,10150,89988,2523,0.677,0.687,0.791,0.572
291075,105,1,41,39.04761904761905,1,fátima,17652,17652,0,5270,2238,3032,6905,81,350,512,645,4339,978,16616,18059,5072,0.56,0.554,0.686,0.459
291077,24,0,10,41.66666666666667,0,feira da mata,6184,6184,0,1743,931,812,3222,59,200,291,314,1988,370,1240,2482,4462,0.588,0.527,0.763,0.505
291080,3804,9,1633,42.92849631966351,19,feira de santana,556642,556393,249,163037,150573,12464,471066,7060,26735,36623,40110,320002,40536,14210,3350,1567,0.71,0.71,0.82,0.619
291085,91,0,32,35.16483516483517,0,filadélfia,16740,16740,0,4797,2714,2083,9012,146,605,785,821,5500,1155,2248,486,4962,0.565,0.553,0.726,0.45
291090,39,0,24,61.53846153846154,0,firmino alves,5384,5384,0,1613,1290,323,4319,61,281,397,400,2604,576,0,0,4687,0.578,0.596,0.699,0.464
291100,71,0,29,40.845070422535215,0,floresta azul,10660,10660,0,3038,2121,917,7325,120,443,638,709,4305,1110,2066,2388,5114,0.557,0.548,0.731,0.431
291110,127,0,44,34.645669291338585,2,formosa do rio preto,22528,22505,23,5596,3478,2118,13611,226,1011,1312,1478,8523,1061,484179,1783585,3737,0.618,0.576,0.763,0.536
291120,185,0,71,38.37837837837838,0,gandu,30336,30336,0,9286,7588,1698,24760,386,1706,2251,2291,15873,2253,9384,29424,3456,0.632,0.645,0.771,0.508
291125,32,0,16,50,0,gavião,4561,4561,0,1388,814,574,2523,17,139,230,209,1550,378,430,165,4170,0.599,0.566,0.747,0.508
291130,65,0,28,43.07692307692308,0,gentio do ouro,10622,10622,0,2981,1526,1455,5348,73,310,514,604,3087,760,838,1448,5080,0.56,0.523,0.743,0.45
291140,110,0,39,35.45454545454545,3,glória,15076,15076,0,4104,826,3278,2813,28,180,228,271,1841,265,1879,9032,4318,0.593,0.563,0.775,0.479
291150,46,0,17,36.95652173913043,0,gongogi,8357,8357,0,2254,1500,754,5334,63,337,471,533,3229,701,1285,3347,4737,0.58,0.543,0.773,0.456
291160,144,1,60,41.66666666666667,1,governador mangabeira,19818,19810,8,5420,2187,3233,7408,95,434,582,644,4811,842,3182,18192,3250,0.643,0.594,0.754,0.594
291165,56,0,29,51.78571428571429,0,guajeru,10412,10412,0,2665,602,2063,2070,33,109,170,161,1265,332,845,499,4877,0.569,0.548,0.77,0.437
291170,519,0,224,43.15992292870906,2,guanambi,78833,78833,0,22330,17952,4378,62382,905,3603,4859,5218,41554,6243,4770,7334,2620,0.67,0.663,0.789,0.584
291180,116,2,38,32.758620689655174,0,guaratinga,22165,22165,0,6747,3106,3641,10386,154,684,974,1086,6171,1317,6331,27588,5083,0.56,0.559,0.766,0.406
291185,92,0,40,43.47826086956522,1,heliópolis,13192,13192,0,3836,1730,2106,5413,61,311,430,534,3317,760,5361,2607,4993,0.563,0.547,0.748,0.437
291190,189,0,74,39.15343915343915,0,iaçu,25736,25726,10,7371,5889,1482,20124,315,1337,1909,2274,11832,2457,737,6206,4775,0.574,0.588,0.697,0.461
291200,65,0,29,44.61538461538462,1,ibiassucê,10062,10062,0,2799,1351,1448,4706,57,268,368,371,3027,615,1675,2458,3893,0.611,0.608,0.789,0.476
291210,180,0,66,36.666666666666664,1,ibicaraí,24272,24272,0,7587,5618,1969,17830,190,986,1545,1670,10707,2732,2774,3817,3593,0.625,0.609,0.764,0.524
291220,79,0,31,39.24050632911392,0,ibicoara,17282,17282,0,4759,3143,1616,10917,255,939,1054,1087,7034,548,7045,196218,4382,0.591,0.583,0.731,0.484
291230,110,0,44,40,0,ibicuí,15785,15785,0,4831,3627,1204,11860,163,705,1079,1077,7197,1639,871,1950,4554,0.584,0.586,0.78,0.435
291240,96,0,43,44.79166666666667,0,ibipeba,17008,17008,0,4948,2954,1994,10018,151,611,951,933,6210,1162,6289,23866,3789,0.616,0.577,0.744,0.545
291250,83,0,36,43.373493975903614,0,ibipitanga,14171,14171,0,3791,1458,2333,5153,70,296,413,478,3289,607,703,440,4553,0.584,0.553,0.757,0.475
291260,20,0,11,55.00000000000001,0,ibiquera,4866,4866,0,1402,724,678,2457,28,155,240,254,1427,353,418,539,5499,0.511,0.517,0.771,0.335
291270,149,0,59,39.59731543624161,0,ibirapitanga,22598,22598,0,6377,1723,4654,6154,98,462,655,751,3495,693,18809,35092,5085,0.56,0.561,0.748,0.415
291280,49,0,20,40.816326530612244,0,ibirapuã,7956,7949,7,2466,1424,1042,4521,64,295,407,404,2782,569,10885,67580,3841,0.614,0.641,0.774,0.467
291290,163,1,69,42.331288343558285,0,ibirataia,18943,18943,0,5586,4620,966,15716,255,994,1270,1459,9637,2101,9243,15439,4720,0.58,0.571,0.789,0.424
291300,98,0,50,51.02040816326531,0,ibitiara,15508,15508,0,4214,1064,3150,3426,42,185,268,283,2212,436,1185,1651,4517,0.585,0.55,0.744,0.49
291310,112,0,42,37.5,0,ibititá,17840,17840,0,5229,2478,2751,8310,147,536,743,809,5076,999,7110,20303,4112,0.602,0.554,0.747,0.527
291320,203,1,78,38.42364532019704,7,ibotirama,25424,25424,0,7035,5548,1487,19424,329,1283,1694,1945,12218,1955,2226,1494,3388,0.636,0.601,0.78,0.548
291330,36,0,18,50,1,ichu,5255,5255,0,1565,1010,555,3365,46,207,283,311,2099,419,358,65,3472,0.631,0.58,0.771,0.562
291340,92,0,46,50,0,igaporã,15205,15205,0,3975,2147,1828,7858,145,442,618,667,5037,949,1222,1487,3820,0.614,0.586,0.766,0.516
291345,55,0,24,43.63636363636363,0,igrapiúna,13343,13343,0,3576,1196,2380,4257,63,301,424,539,2567,363,13256,28209,4767,0.574,0.565,0.789,0.424
291350,169,2,62,36.68639053254438,1,iguaí,25705,25705,0,7462,4275,3187,14538,207,954,1318,1409,8726,1924,2474,5172,5174,0.552,0.559,0.786,0.382
291360,1350,7,555,41.11111111111111,8,ilhéus,184236,183820,416,56176,47273,8903,130282,1764,7405,10126,11631,85366,13990,46359,97843,2183,0.69,0.688,0.808,0.59
291370,248,1,104,41.935483870967744,1,inhambupe,36306,36306,0,10162,4683,5479,15591,259,1031,1430,1588,9642,1641,19539,82449,4948,0.565,0.556,0.757,0.429
291380,113,0,52,46.017699115044245,0,ipecaetá,15331,15331,0,3842,759,3083,2630,36,140,205,239,1618,392,5412,1912,5198,0.55,0.506,0.776,0.424
